ID,post_title,post_name,post_date,post_parent
2886,"WAV Footprint",wav-footprint,"2021-06-29 04:21:18",0
888,"BG7 Gutter Machine Footprint",bg7-gutter-machine-footprint,"2021-03-10 19:03:20",0
886,"MACH II Gutter Machine Footprint",mach-ii-gutter-machine-footprint,"2021-03-10 19:02:23",0
885,"5VC-5V Roof Panel Machine Footprint",5vc-5v-roof-panel-machine-footprint,"2021-03-10 19:01:19",0
884,"SSR Roof Panel Machine Footprint",ssr-roof-panel-machine-footprint,"2021-03-10 18:59:44",0
882,"SSH Roof Panel Machine Footprint",ssh-roof-panel-machine-footprint,"2021-03-10 18:58:15",0
861,"SSQ II Roof Panel Machine Footprint",ssq-ii-roof-panel-machine-footprint,"2021-03-10 18:32:36",0
